TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
campaign_master	process_id	campaign_master_ibfk_1	process_master	id
chat_funnel_detail	conversion_funnel_event_id	chat_funnel_detail_ibfk_1	conversion_funnel_event	id
client_user	client_id	client_user_ibfk_1	client_master	id
coaching_session	employee_id	coaching_session_ibfk_1	employees	id
communication_preferences	employee_id	fk_comm_prefs_emp	employees	id
communication_template	created_by	communication_template_ibfk_1	employees	id
cost_centre_master	branch_id	cost_centre_master_ibfk_1	branch_master	id
cost_centre_master	department_id	cost_centre_master_ibfk_2	department_master	id
cost_centre_master	parent_cost_centre_id	fk_cc_parent	cost_centre_master	id
creche_facility	branch_id	creche_facility_ibfk_1	branch_master	id
customization_application_log	rule_id	customization_application_log_ibfk_1	customization_rule	id
department_master	branch_id	department_master_ibfk_1	branch_master	id
department_master	parent_department_id	fk_dept_parent	department_master	id
designation_band_matrix	department_id	designation_band_matrix_ibfk_1	department_master	id
designation_band_matrix	designation_id	designation_band_matrix_ibfk_2	designation_master	id
designation_band_matrix	grade_id	designation_band_matrix_ibfk_3	grade_band_master	id
designation_band_matrix	min_slab_id	designation_band_matrix_ibfk_4	salary_slab_master	id
designation_master	grade_id	fk_desig_grade	grade_band_master	id
designation_role_map	role_key	designation_role_map_ibfk_1	workforce_role_catalog	role_key
development_plan	employee_id	development_plan_ibfk_2	employees	id
development_plan	manager_id	development_plan_ibfk_3	employees	id
development_plan	report_id	development_plan_ibfk_1	performance_feedback_report	report_id
development_plan_goal	competency_id	development_plan_goal_ibfk_2	competency_master	competency_id
development_plan_goal	plan_id	development_plan_goal_ibfk_1	development_plan	plan_id
development_plan_goal	training_need_id	development_plan_goal_ibfk_3	training_need	id
dialer_session_log	employee_id	dialer_session_log_ibfk_1	employees	id
dispatch_log	recipient_employee_id	dispatch_log_ibfk_2	employees	id
dispatch_log	template_id	dispatch_log_ibfk_1	communication_template	id
email_funnel_detail	conversion_funnel_event_id	email_funnel_detail_ibfk_1	conversion_funnel_event	id
employee_address	employee_id	employee_address_ibfk_1	employees	id
employee_badge_earned	badge_id	employee_badge_earned_ibfk_1	gamification_badge_master	badge_id
employee_badge_earned	employee_id	employee_badge_earned_ibfk_2	employees	id
employee_bank_detail	employee_id	fk_bank_emp	employees	id
employee_biometric_enrollment	device_id	employee_biometric_enrollment_ibfk_2	biometric_device_master	id
employee_biometric_enrollment	employee_id	employee_biometric_enrollment_ibfk_1	employees	id
employee_client_mapping	employee_id	employee_client_mapping_ibfk_1	employees	id
employee_contract	employee_id	employee_contract_ibfk_1	employees	id
employee_deductions_log	employee_id	employee_deductions_log_ibfk_1	employees	id
employee_documents	employee_id	employee_documents_ibfk_1	employees	id
employee_emergency_contact	employee_id	fk_eec_emp	employees	id
employee_exit_record	employee_id	employee_exit_record_ibfk_1	employees	id
employee_gamification_tier	current_tier_id	employee_gamification_tier_ibfk_1	gamification_tier	id
employee_gamification_tier	employee_id	employee_gamification_tier_ibfk_2	employees	id
employee_job_history	employee_id	employee_job_history_ibfk_1	employees	id
employee_job_history	from_manager_id	employee_job_history_ibfk_2	employees	id
employee_job_history	to_manager_id	employee_job_history_ibfk_3	employees	id
employee_journey_log	employee_id	employee_journey_log_ibfk_1	employees	id
employee_kpi_assignment	employee_id	employee_kpi_assignment_ibfk_1	employees	id
employee_legacy_meta	employee_id	employee_legacy_meta_ibfk_1	employees	id
employee_lifecycle_event	employee_id	employee_lifecycle_event_ibfk_1	employees	id
employee_loans	employee_id	employee_loans_ibfk_1	employees	id
employee_loans	guarantor_emp_id	employee_loans_ibfk_2	employees	id
employee_nominee	employee_id	employee_nominee_ibfk_1	employees	id
employee_pf_withdrawal	employee_id	employee_pf_withdrawal_ibfk_1	employees	id
employee_probation	employee_id	employee_probation_ibfk_1	employees	id
employee_salary_assignment	employee_id	employee_salary_assignment_ibfk_1	employees	id
employee_salary_assignment	structure_id	employee_salary_assignment_ibfk_2	salary_structure_master	id
employee_salary_snapshot	employee_id	employee_salary_snapshot_ibfk_1	employees	id
employee_skill	skill_id	employee_skill_ibfk_1	skill_master	id
employee_statutory_info	employee_id	employee_statutory_info_ibfk_1	employees	id
employee_task	assigned_to_user_id	employee_task_ibfk_2	auth_user	id
employee_task	completed_by	employee_task_ibfk_3	auth_user	id
employee_task	employee_id	employee_task_ibfk_1	employees	id
employee_task	template_id	employee_task_ibfk_4	task_template	id
employee_task_checklist	completed_by	employee_task_checklist_ibfk_2	auth_user	id
employee_task_checklist	task_id	employee_task_checklist_ibfk_1	employee_task	id
employee_task_comment	task_id	employee_task_comment_ibfk_1	employee_task	id
employee_task_comment	user_id	employee_task_comment_ibfk_2	auth_user	id
employee_tier_status	current_tier_id	employee_tier_status_ibfk_2	gamification_tier_master	tier_id
employee_tier_status	employee_id	employee_tier_status_ibfk_1	employees	id
employee_uan	employee_id	fk_uan_employee	employees	id
employees	branch_id	employees_ibfk_1	branch_master	id
employees	cost_centre_id	fk_emp_cost_centre	cost_centre_master	id
employees	department_id	employees_ibfk_2	department_master	id
employees	designation_id	employees_ibfk_4	designation_master	id
employees	grade_id	fk_emp_grade	grade_band_master	id
employees	lob_id	fk_emp_lob	lob_master	id
employees	manager_id	fk_emp_manager	employees	id
employees	process_id	employees_ibfk_3	process_master	id
exit_approval_log	exit_request_id	exit_approval_log_ibfk_1	exit_request	id
exit_clearance_checklist	exit_request_id	exit_clearance_checklist_ibfk_1	exit_request	id
exit_request	employee_id	exit_request_ibfk_1	employees	id
full_final_calculation	exit_request_id	fk_ff_exit_request	exit_request	id
funnel_employee_performance	employee_id	funnel_employee_performance_ibfk_1	employees	id
gamification_point_log	employee_id	gamification_point_log_ibfk_1	employees	id
gamification_points_ledger	employee_id	gamification_points_ledger_ibfk_1	employees	id
generated_letter	employee_id	generated_letter_ibfk_1	employees	id
generated_letter	template_id	generated_letter_ibfk_2	letter_template	id
glide_path_commitment	metric_id	glide_path_commitment_ibfk_1	kpi_metric_master	id
governance_checklist_log	activity_id	governance_checklist_log_ibfk_1	governance_activity_master	id
gratuity_accrual_ledger	employee_id	gratuity_accrual_ledger_ibfk_1	employees	id
gratuity_distribution	employee_id	gratuity_distribution_ibfk_2	employees	id
gratuity_distribution	exit_request_id	gratuity_distribution_ibfk_1	exit_request	id
gratuity_distribution	nominee_id	gratuity_distribution_ibfk_3	employee_nominee	id
grievance	employee_id	grievance_ibfk_1	employees	id
helpdesk_ticket	employee_id	helpdesk_ticket_ibfk_1	employees	id
helpdesk_ticket_comment	ticket_id	helpdesk_ticket_comment_ibfk_1	helpdesk_ticket	id
inbound_funnel_detail	conversion_funnel_event_id	inbound_funnel_detail_ibfk_1	conversion_funnel_event	id
integration_call_daily	integration_key	fk_call_daily_integration	integration_config	integration_key
integration_process_alias	process_id	integration_process_alias_ibfk_1	process_master	id
integration_raw_payload	run_id	integration_raw_payload_ibfk_1	integration_connector_run	id
integration_schedule	integration_key	integration_schedule_ibfk_1	integration_config	integration_key
integration_schema_snapshot	run_id	integration_schema_snapshot_ibfk_1	integration_connector_run	id
integration_table_map	integration_key	fk_table_map_integration	integration_config	integration_key
ispark_employee_staging	batch_id	ispark_employee_staging_ibfk_1	ispark_migration_batch	id
ispark_employee_staging	promoted_employee_id	ispark_employee_staging_ibfk_2	employees	id
it_provisioning_request	employee_id	it_provisioning_request_ibfk_1	employees	id
kpi_assignment	template_id	kpi_assignment_ibfk_1	kpi_template	id
kpi_daily_actual	employee_id	kpi_daily_actual_ibfk_1	employees	id
kpi_daily_actual	metric_id	kpi_daily_actual_ibfk_2	kpi_metric_master	id
kpi_employee_resolved	employee_id	kpi_employee_resolved_ibfk_1	employees	id
kpi_employee_resolved	metric_id	kpi_employee_resolved_ibfk_2	kpi_metric_master	id
kpi_master_config	metric_id	kpi_master_config_ibfk_1	kpi_metric_master	id
kpi_score	employee_id	kpi_score_ibfk_1	employees	id
kpi_score	metric_id	kpi_score_ibfk_2	kpi_metric_master	id
kpi_template_metric	metric_id	kpi_template_metric_ibfk_2	kpi_metric_master	id
kpi_template_metric	template_id	kpi_template_metric_ibfk_1	kpi_template	id
kudos_giver_limit	employee_id	kudos_giver_limit_ibfk_1	employees	id
kudos_recognition	from_employee_id	kudos_recognition_ibfk_1	employees	id
kudos_recognition	to_employee_id	kudos_recognition_ibfk_2	employees	id
kudos_transaction	kudos_template_id	kudos_transaction_ibfk_3	kudos_master	kudos_template_id
kudos_transaction	receiver_id	kudos_transaction_ibfk_2	employees	id
kudos_transaction	sender_id	kudos_transaction_ibfk_1	employees	id
leave_approval_log	leave_request_id	leave_approval_log_ibfk_1	leave_request	id
leave_balance_ledger	employee_id	leave_balance_ledger_ibfk_1	employees	id
leave_balance_ledger	leave_type_id	leave_balance_ledger_ibfk_2	leave_type_master	id
leave_credit_schedule	leave_code	leave_credit_schedule_ibfk_1	leave_type_master	leave_code
leave_el_credit_log	employee_id	leave_el_credit_log_ibfk_1	employees	id
leave_el_credit_log	leave_type_id	leave_el_credit_log_ibfk_2	leave_type_master	id
leave_el_credit_log_legacy	employee_id	leave_el_credit_log_legacy_ibfk_1	employees	id
leave_holiday_master	branch_id	leave_holiday_master_ibfk_1	branch_master	id
leave_policy_config	leave_type_id	leave_policy_config_ibfk_1	leave_type_master	id
leave_request	employee_id	leave_request_ibfk_1	employees	id
leave_request	leave_type_id	leave_request_ibfk_2	leave_type_master	id
leave_roster_impact	employee_id	leave_roster_impact_ibfk_1	employees	id
legacy_sync_checkpoint	sync_map_id	legacy_sync_checkpoint_ibfk_1	legacy_sync_map	id
legacy_sync_exception	sync_map_id	legacy_sync_exception_ibfk_1	legacy_sync_map	id
legacy_sync_run_log	sync_map_id	legacy_sync_run_log_ibfk_1	legacy_sync_map	id
management_commentary_reply	commentary_id	management_commentary_reply_ibfk_1	management_commentary	id
management_kpi_summary	employee_id	management_kpi_summary_ibfk_1	employees	id
manpower_requisition	branch_id	manpower_requisition_ibfk_2	branch_master	id
manpower_requisition	department_id	manpower_requisition_ibfk_3	department_master	id
manpower_requisition	designation_id	manpower_requisition_ibfk_4	designation_master	id
manpower_requisition	process_id	manpower_requisition_ibfk_1	process_master	id
migration_row_log	run_id	migration_row_log_ibfk_1	migration_run	id
notification_preferences	employee_id	notification_preferences_ibfk_1	employees	id
outbound_funnel_detail	conversion_funnel_event_id	outbound_funnel_detail_ibfk_1	conversion_funnel_event	id
password_reset_tokens	user_id	password_reset_tokens_ibfk_1	auth_user	id
payroll_disbursement	run_id	fk_disbursement_run	salary_prep_run	id
payroll_readiness_flag	employee_id	payroll_readiness_flag_ibfk_1	employees	id
payroll_readiness_snapshot	employee_id	fk_prs_employee	employees	id
people_experience_action	employee_id	people_experience_action_ibfk_1	employees	id
people_experience_health_snapshot	employee_id	people_experience_health_snapshot_ibfk_1	employees	id
performance_alert	employee_id	performance_alert_ibfk_1	employees	id
performance_feedback_cycle	appraisal_cycle_id	performance_feedback_cycle_ibfk_2	appraisal_cycle	id
performance_feedback_cycle	created_by	performance_feedback_cycle_ibfk_1	employees	id
performance_feedback_report	cycle_id	performance_feedback_report_ibfk_1	performance_feedback_cycle	cycle_id
performance_feedback_report	employee_id	performance_feedback_report_ibfk_2	employees	id
performance_feedback_request	cycle_id	performance_feedback_request_ibfk_1	performance_feedback_cycle	cycle_id
performance_feedback_request	employee_id	performance_feedback_request_ibfk_2	employees	id
performance_feedback_request	reviewer_id	performance_feedback_request_ibfk_3	employees	id
performance_feedback_response	competency_id	performance_feedback_response_ibfk_2	competency_master	competency_id
