TABLE_NAME	COLUMN_NAME	SEQ_IN_INDEX	NON_UNIQUE	INDEX_NAME
ats_command_email_log	email_type	1	1	idx_ats_email_type_date
ats_command_email_log	created_at	2	1	idx_ats_email_type_date
ats_command_email_log	id	1	0	PRIMARY
ats_command_email_log	candidate_id	1	0	uk_ats_email_once
ats_command_email_log	email_type	2	0	uk_ats_email_once
ats_command_sla_event	event_status	1	1	idx_ats_sla_status
ats_command_sla_event	created_at	2	1	idx_ats_sla_status
ats_command_sla_event	id	1	0	PRIMARY
ats_command_sla_event	candidate_id	1	0	uk_ats_sla_candidate
ats_daily_branch_report_log	report_date	1	1	idx_ats_daily_branch
ats_daily_branch_report_log	branch_key	2	1	idx_ats_daily_branch
ats_daily_branch_report_log	status	3	1	idx_ats_daily_branch
ats_daily_branch_report_log	id	1	0	PRIMARY
ats_doc_upload_response	candidate_id	1	1	idx_ats_doc_candidate
ats_doc_upload_response	created_at	2	1	idx_ats_doc_candidate
ats_doc_upload_response	id	1	0	PRIMARY
ats_dropdown_list	list_name	1	1	idx_ats_dropdown_list
ats_dropdown_list	active_status	2	1	idx_ats_dropdown_list
ats_dropdown_list	sort_order	3	1	idx_ats_dropdown_list
ats_dropdown_list	id	1	0	PRIMARY
ats_dropdown_list	list_name	1	0	uk_ats_dropdown
ats_dropdown_list	value_text	2	0	uk_ats_dropdown
ats_duplicate_log	candidate_id	1	1	candidate_id
ats_duplicate_log	matched_with_id	1	1	matched_with_id
ats_duplicate_log	id	1	0	PRIMARY
ats_email_log	candidate_id	1	1	idx_email_log_cand
ats_email_log	email_type	1	1	idx_email_log_type
ats_email_log	id	1	0	PRIMARY
ats_email_template	template_code	1	0	PRIMARY
ats_employment_offer	candidate_id	1	1	candidate_id
ats_employment_offer	department_id	1	1	department_id
ats_employment_offer	designation_id	1	1	designation_id
ats_employment_offer	onboarding_request_id	1	0	onboarding_request_id
ats_employment_offer	id	1	0	PRIMARY
ats_employment_offer	reporting_manager_id	1	1	reporting_manager_id
ats_form_config	id	1	0	PRIMARY
ats_form_config	config_key	1	0	ux_form_config_key
ats_form_field_mapping	form_name	1	1	idx_ats_form_field_map
ats_form_field_mapping	maps_to_candidates_column	2	1	idx_ats_form_field_map
ats_form_field_mapping	id	1	0	PRIMARY
ats_form_field_mapping	form_name	1	0	uk_ats_form_field
ats_form_field_mapping	question_title	2	0	uk_ats_form_field
ats_forms_catalog	form_key	1	0	PRIMARY
ats_incremental_repair_cursor	cursor_key	1	0	PRIMARY
ats_interview_approval_log	candidate_id	1	1	candidate_id
ats_interview_approval_log	approved_by	1	1	idx_approved_by
ats_interview_approval_log	assignment_id	1	1	idx_assignment
ats_interview_approval_log	created_at	1	1	idx_created_at
ats_interview_approval_log	submitted_by_user_id	1	1	idx_submitted_by
ats_interview_approval_log	id	1	0	PRIMARY
ats_interview_assignment	assigned_by	1	1	assigned_by
ats_interview_assignment	assigned_at	1	1	idx_assigned_at
ats_interview_assignment	branch_id	1	1	idx_branch_status
ats_interview_assignment	status	2	1	idx_branch_status
ats_interview_assignment	candidate_id	1	1	idx_candidate_round
ats_interview_assignment	interview_round	2	1	idx_candidate_round
ats_interview_assignment	interview_date	1	1	idx_interview_date
ats_interview_assignment	interviewer_id	1	1	idx_interviewer_status
ats_interview_assignment	status	2	1	idx_interviewer_status
ats_interview_assignment	id	1	0	PRIMARY
ats_interview_assignment	process_id	1	1	process_id
ats_interview_result	candidate_id	1	1	idx_candidate
ats_interview_result	interviewed_at	1	1	idx_interview_date
ats_interview_result	recruiter_id	1	1	idx_recruiter
ats_interview_result	interview_status	1	1	idx_status
ats_interview_result	id	1	0	PRIMARY
ats_interview_slot	branch_id	1	1	branch_id
ats_interview_slot	slot_date	1	1	idx_slot_date
ats_interview_slot	id	1	0	PRIMARY
ats_interview_slot	process_id	1	1	process_id
ats_interview_submission	final_decision	1	1	idx_submission_decision
ats_interview_submission	recruiter_code	1	1	idx_submission_recruiter
ats_interview_submission	walkin_end_stage	1	1	idx_submission_stage
ats_interview_submission	id	1	0	PRIMARY
ats_interview_submission	candidate_id	1	0	uq_submission
ats_interview_submission	q_token	2	0	uq_submission
ats_interview_submission_audit	action	1	1	idx_sub_audit_action
ats_interview_submission_audit	submission_id	1	1	idx_sub_audit_submission
ats_interview_submission_audit	submitted_by_user_id	1	1	idx_submitted_by
ats_interview_submission_audit	id	1	0	PRIMARY
ats_notification_log	candidate_id	1	1	idx_ats_notif_candidate
ats_notification_log	event_type	2	1	idx_ats_notif_candidate
ats_notification_log	recruiter_code	1	1	idx_ats_notif_recruiter
ats_notification_log	created_at	2	1	idx_ats_notif_recruiter
ats_notification_log	id	1	0	PRIMARY
ats_offer	candidate_id	1	1	candidate_id
ats_offer	id	1	0	PRIMARY
ats_offer_acknowledgements	action_type	1	1	idx_action_type
ats_offer_acknowledgements	offer_letter_id	1	1	idx_offer_letter_id
ats_offer_acknowledgements	id	1	0	PRIMARY
ats_offer_approval	offer_id	1	1	idx_offer_approval_offer
ats_offer_approval	id	1	0	PRIMARY
ats_offer_letter_templates	active_status	1	1	idx_active_status
ats_offer_letter_templates	template_type	1	1	idx_template_type
ats_offer_letter_templates	id	1	0	PRIMARY
ats_offer_letters	candidate_id	1	1	idx_candidate_id
ats_offer_letters	candidate_id	1	1	idx_candidate_offer_date
ats_offer_letters	offer_date	2	1	idx_candidate_offer_date
ats_offer_letters	expires_at	1	1	idx_expires_at
ats_offer_letters	offer_date	1	1	idx_offer_date
ats_offer_letters	status	1	1	idx_offer_status_expiry
ats_offer_letters	expires_at	2	1	idx_offer_status_expiry
ats_offer_letters	status	1	1	idx_status
ats_offer_letters	id	1	0	PRIMARY
ats_offer_letters	template_id	1	1	template_id
ats_onboarding_bridge	candidate_id	1	0	candidate_id
ats_onboarding_bridge	employee_id	1	1	employee_id
ats_onboarding_bridge	id	1	0	PRIMARY
ats_onboarding_bridge	onboarding_token	1	0	uq_onb_token
ats_onboarding_request	candidate_id	1	0	candidate_id
ats_onboarding_request	branch_id	1	1	idx_onb_req_branch
ats_onboarding_request	status	1	1	idx_onb_req_status
ats_onboarding_request	id	1	0	PRIMARY
ats_onboarding_task_templates	task_order	1	1	idx_order
