TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME
competency_master	competency_id	PRIMARY
consent_text_version	id	PRIMARY
contract_master	id	PRIMARY
conversion_funnel_event	id	PRIMARY
cosec_daily_agg	id	PRIMARY
cosec_punch_sync	id	PRIMARY
cosec_sync_watermark	wm_key	PRIMARY
cosec_unmapped_users	id	PRIMARY
cost_centre_master	id	PRIMARY
creche_facility	id	PRIMARY
customization_application_log	id	PRIMARY
customization_cache	id	PRIMARY
customization_dimension	id	PRIMARY
customization_rule	id	PRIMARY
dashboard_metric_catalog	id	PRIMARY
dashboard_metric_snapshot	id	PRIMARY
dashboard_role_metric_config	id	PRIMARY
data_breach_log	id	PRIMARY
data_consent	id	PRIMARY
data_retention_policy	id	PRIMARY
data_rights_request	id	PRIMARY
department_master	id	PRIMARY
designation_band_matrix	id	PRIMARY
designation_master	id	PRIMARY
designation_role_map	id	PRIMARY
development_plan	plan_id	PRIMARY
development_plan_goal	goal_id	PRIMARY
dialer_session_log	id	PRIMARY
dispatch_log	id	PRIMARY
dpdp_config	config_key	PRIMARY
dpdp_consent_log	id	PRIMARY
dpdp_consent_withdrawal	id	PRIMARY
dpdp_processing_hold	id	PRIMARY
dpdp_processing_notice	id	PRIMARY
dpdp_withdrawal_audit_log	id	PRIMARY
email_funnel_detail	id	PRIMARY
email_templates	id	PRIMARY
employee_360_activity_log	id	PRIMARY
employee_address	id	PRIMARY
employee_badge_earned	earned_id	PRIMARY
employee_bank_detail	id	PRIMARY
employee_biometric_enrollment	id	PRIMARY
employee_client_mapping	id	PRIMARY
employee_code_generation_log	id	PRIMARY
employee_code_sequence	id	PRIMARY
employee_contract	id	PRIMARY
employee_deductions_log	id	PRIMARY
employee_document_access_log	id	PRIMARY
employee_document_vault	id	PRIMARY
employee_documents	id	PRIMARY
employee_emergency_contact	id	PRIMARY
employee_exit_record	id	PRIMARY
employee_gamification_tier	id	PRIMARY
employee_job_history	id	PRIMARY
employee_journey_log	id	PRIMARY
employee_kpi_assignment	id	PRIMARY
employee_legacy_meta	id	PRIMARY
employee_lifecycle_event	id	PRIMARY
employee_loans	id	PRIMARY
employee_nominee	id	PRIMARY
employee_pf_withdrawal	id	PRIMARY
employee_probation	id	PRIMARY
employee_roster_preference	id	PRIMARY
employee_salary_assignment	id	PRIMARY
employee_salary_snapshot	id	PRIMARY
employee_skill	id	PRIMARY
employee_statutory_info	id	PRIMARY
employee_statutory_override	id	PRIMARY
employee_task	id	PRIMARY
employee_task_checklist	id	PRIMARY
employee_task_comment	id	PRIMARY
employee_tier_status	status_id	PRIMARY
employee_uan	id	PRIMARY
employees	id	PRIMARY
engagement_health_snapshot	id	PRIMARY
engagement_rule_master	id	PRIMARY
escalation_matrix_master	id	PRIMARY
esic_contribution_summary	id	PRIMARY
esign_provider_transaction	id	PRIMARY
exit_approval_log	id	PRIMARY
exit_clearance_checklist	id	PRIMARY
exit_clearance_task	id	PRIMARY
exit_employee_health_snapshot	id	PRIMARY
exit_interview_response	id	PRIMARY
exit_request	id	PRIMARY
exit_retention_action	id	PRIMARY
expense_categories	id	PRIMARY
expense_claim	id	PRIMARY
expense_policy	id	PRIMARY
finance_action_audit_log	id	PRIMARY
full_final_calculation	id	PRIMARY
funnel_daily_snapshot	id	PRIMARY
funnel_employee_performance	id	PRIMARY
funnel_org_performance	id	PRIMARY
funnel_stage_config	id	PRIMARY
gamification_badge_master	badge_id	PRIMARY
gamification_point_log	id	PRIMARY
gamification_points_ledger	transaction_id	PRIMARY
gamification_tier	id	PRIMARY
gamification_tier_master	tier_id	PRIMARY
generated_letter	id	PRIMARY
glide_path_commitment	id	PRIMARY
global_event_log	id	PRIMARY
goal	id	PRIMARY
governance_activity_master	id	PRIMARY
governance_checklist_log	id	PRIMARY
grade_band_master	id	PRIMARY
gratuity_accrual_ledger	id	PRIMARY
gratuity_distribution	id	PRIMARY
grievance	id	PRIMARY
grn_request	id	PRIMARY
helpdesk_ticket	id	PRIMARY
helpdesk_ticket_comment	id	PRIMARY
hrms_launch_bootstrap_log	id	PRIMARY
hrms_launch_invite_log	id	PRIMARY
inbound_funnel_detail	id	PRIMARY
incentive_approval_step	id	PRIMARY
incentive_payroll_register	id	PRIMARY
incentive_upload_batch	id	PRIMARY
integration_biometric_daily	id	PRIMARY
integration_call_daily	id	PRIMARY
integration_config	id	PRIMARY
integration_connector_run	id	PRIMARY
integration_event_log	id	PRIMARY
integration_field_map	id	PRIMARY
integration_field_map_suggestion	id	PRIMARY
integration_process_alias	id	PRIMARY
integration_raw_payload	id	PRIMARY
integration_schedule	id	PRIMARY
integration_schema_snapshot	id	PRIMARY
integration_sync_run	id	PRIMARY
integration_table_map	id	PRIMARY
ispark_employee_staging	id	PRIMARY
ispark_migration_batch	id	PRIMARY
it_provisioning_request	id	PRIMARY
jclr_entries	id	PRIMARY
job_posting	id	PRIMARY
kpi_assignment	id	PRIMARY
kpi_calculation_audit	id	PRIMARY
kpi_daily_actual	id	PRIMARY
kpi_data_source_mapping	id	PRIMARY
kpi_employee_assignment	id	PRIMARY
kpi_employee_resolved	id	PRIMARY
kpi_formula_catalog	id	PRIMARY
kpi_manual_adjustment	id	PRIMARY
kpi_master_config	id	PRIMARY
kpi_metric_master	id	PRIMARY
kpi_process_config	id	PRIMARY
kpi_process_template	id	PRIMARY
kpi_rating_config	id	PRIMARY
kpi_review_action	id	PRIMARY
kpi_role_template	id	PRIMARY
kpi_role_template_metric	id	PRIMARY
kpi_score	id	PRIMARY
kpi_score_detail	id	PRIMARY
kpi_score_period	id	PRIMARY
kpi_score_summary	id	PRIMARY
kpi_target_master	id	PRIMARY
kpi_template	id	PRIMARY
kpi_template_metric	id	PRIMARY
kudos_giver_limit	id	PRIMARY
kudos_master	kudos_template_id	PRIMARY
kudos_moderation_log	id	PRIMARY
kudos_reaction	id	PRIMARY
kudos_recognition	id	PRIMARY
kudos_transaction	kudos_id	PRIMARY
leave_approval_log	id	PRIMARY
leave_balance_ledger	id	PRIMARY
leave_credit_schedule	leave_code	PRIMARY
leave_credit_schedule	month	PRIMARY
leave_el_accrual_ledger	id	PRIMARY
leave_el_credit_log	id	PRIMARY
leave_el_credit_log_legacy	id	PRIMARY
leave_holiday_master	id	PRIMARY
leave_policy_config	id	PRIMARY
leave_policy_config_legacy	id	PRIMARY
leave_request	id	PRIMARY
leave_roster_impact	id	PRIMARY
leave_type_master	id	PRIMARY
legacy_mapping_candidates	id	PRIMARY
legacy_source_column_profile	id	PRIMARY
legacy_source_table_profile	id	PRIMARY
legacy_sync_checkpoint	id	PRIMARY
legacy_sync_exception	id	PRIMARY
legacy_sync_map	id	PRIMARY
legacy_sync_run_log	id	PRIMARY
letter_template	id	PRIMARY
lms_assessment_scores	id	PRIMARY
lms_certification_snapshot	id	PRIMARY
lms_employee_mapping	id	PRIMARY
lms_learner_progress	id	PRIMARY
lms_learning_progress_snapshot	id	PRIMARY
lms_mapping_audit	id	PRIMARY
lms_sync_audit	id	PRIMARY
lms_sync_audit_log	id	PRIMARY
lob_master	id	PRIMARY
location_master	id	PRIMARY
management_commentary	id	PRIMARY
management_commentary_reply	id	PRIMARY
management_kpi_summary	id	PRIMARY
management_risk_register	id	PRIMARY
manpower_requisition	id	PRIMARY
maternity_benefit_record	id	PRIMARY
migration_error	id	PRIMARY
migration_error_log	id	PRIMARY
migration_log	id	PRIMARY
migration_row_log	id	PRIMARY
migration_run	id	PRIMARY
minimum_wage_master	id	PRIMARY
module_access_control	id	PRIMARY
notification_log	id	PRIMARY
notification_preferences	id	PRIMARY
notification_template	id	PRIMARY
offer_letter_approval	id	PRIMARY
org_settings	id	PRIMARY
outbound_funnel_detail	id	PRIMARY
page_catalog	id	PRIMARY
password_reset_tokens	id	PRIMARY
payroll_calculation_audit	id	PRIMARY
payroll_compliance_issue	id	PRIMARY
payroll_disbursement	id	PRIMARY
payroll_employee_component_snapshot	id	PRIMARY
payroll_readiness_flag	id	PRIMARY
payroll_readiness_snapshot	id	PRIMARY
payroll_register_export_log	id	PRIMARY
payroll_salary_slabs	id	PRIMARY
payroll_tax_fy_config	id	PRIMARY
payroll_tax_slab_master	id	PRIMARY
people_experience_action	id	PRIMARY
people_experience_health_snapshot	id	PRIMARY
performance_alert	id	PRIMARY
performance_feedback_cycle	cycle_id	PRIMARY
performance_feedback_report	report_id	PRIMARY
performance_feedback_request	request_id	PRIMARY
performance_feedback_response	response_id	PRIMARY
pip_checkpoint	id	PRIMARY
pip_record	id	PRIMARY
policy_master	id	PRIMARY
portal_access_log	id	PRIMARY
portal_data_approval_queue	id	PRIMARY
portal_otp	id	PRIMARY
portal_published_snapshot	id	PRIMARY
portal_roster_aggregate	id	PRIMARY
posh_complaint	id	PRIMARY
process_configuration	id	PRIMARY
process_master	id	PRIMARY
process_performance_metrics	id	PRIMARY
process_revenue_daily	id	PRIMARY
process_weekoff_capacity	id	PRIMARY
process_weekoff_day_rule	id	PRIMARY
process_weekoff_rule	id	PRIMARY
procurement_request	id	PRIMARY
profile_update_approval	id	PRIMARY
promotion_record	id	PRIMARY
pt_slab_master	id	PRIMARY
pulse_check	id	PRIMARY
pulse_response	id	PRIMARY
recognition_campaign	id	PRIMARY
reimbursement_claim	id	PRIMARY
report_master	id	PRIMARY
