ats_recruiter_branch_sync_audit	15	0.0	utf8mb4_unicode_ci
ats_recruiter_device	0	0.0	utf8mb4_unicode_ci
ats_recruiter_hiring_activity	44870	164.1	utf8mb4_unicode_ci
ats_recruiter_hiring_import_batch	38	0.1	utf8mb4_unicode_ci
ats_recruiter_hiring_import_error	15253	18.6	utf8mb4_unicode_ci
ats_recruiter_roster	29	0.1	utf8mb4_unicode_ci
ats_recruiter_session	0	0.1	utf8mb4_unicode_ci
ats_sensitive_action_log	131	0.2	utf8mb4_unicode_ci
ats_sourcing_channel	7	0.0	utf8mb4_unicode_ci
ats_typing_passage_bank	15	0.0	utf8mb4_unicode_ci
ats_typing_test_attempt	143	4.6	utf8mb4_unicode_ci
ats_voc_lookup	0	0.0	utf8mb4_unicode_ci
attendance_billing_config	0	0.1	utf8mb4_unicode_ci
attendance_daily_record	126044	300.8	utf8mb4_unicode_ci
attendance_data_quality_log	2	0.1	utf8mb4_unicode_ci
attendance_exception	0	0.1	utf8mb4_unicode_ci
attendance_feature_config	6	0.0	utf8mb4_unicode_ci
attendance_legacy_snapshot	2105841	724.5	utf8mb4_0900_ai_ci
attendance_manual_override	0	0.1	utf8mb4_unicode_ci
attendance_reason_master	12	0.0	utf8mb4_unicode_ci
attendance_reconciliation_cosec_exclusion	164	0.1	utf8mb4_unicode_ci
attendance_reconciliation_issue	15658	19.0	utf8mb4_unicode_ci
attendance_reconciliation_record	0	0.1	utf8mb4_unicode_ci
attendance_regularization	136932	106.6	utf8mb4_unicode_ci
attendance_rule_config	30	0.1	utf8mb4_unicode_ci
attendance_state_snapshot	30	0.1	utf8mb4_unicode_ci
attrition_record	0	0.1	utf8mb4_unicode_ci
attrition_snapshot	0	0.1	utf8mb4_unicode_ci
audit_action_log	70	0.1	utf8mb4_unicode_ci
audit_log	0	0.1	utf8mb4_unicode_ci
auth_inactive_access_log	0	0.0	utf8mb4_unicode_ci
auth_invitation	0	0.1	utf8mb4_unicode_ci
auth_otp_reset	117	0.1	utf8mb4_unicode_ci
auth_password_history	0	0.0	utf8mb4_unicode_ci
auth_password_policy	0	0.0	utf8mb4_unicode_ci
auth_password_reset	969	0.6	utf8mb4_unicode_ci
auth_password_reset_otp	0	0.0	utf8mb4_unicode_ci
auth_refresh_token	4219	6.7	utf8mb4_unicode_ci
auth_two_factor_challenge	80	0.1	utf8mb4_unicode_ci
auth_user	1350	0.7	utf8mb4_unicode_ci
bank_master	20	0.0	utf8mb4_unicode_ci
bank_penny_drop_log	6	0.1	utf8mb4_unicode_ci
benefit_enrollment	0	0.0	utf8mb4_unicode_ci
benefit_plan	0	0.0	utf8mb4_unicode_ci
bgv_auto_approve_correction_backup	48	0.0	utf8mb4_unicode_ci
bgv_providers	0	0.0	utf8mb4_unicode_ci
bill_client_snapshot	896	0.2	utf8mb4_unicode_ci
bill_revenue_actual_snapshot	307084	54.6	utf8mb4_unicode_ci
bill_revenue_target_snapshot	392158	68.7	utf8mb4_unicode_ci
billing_credit_note_line_snapshot	17	0.1	utf8mb4_unicode_ci
billing_credit_note_snapshot	19	0.0	utf8mb4_unicode_ci
billing_invoice	0	0.0	utf8mb4_unicode_ci
billing_invoice_particular_snapshot	665	0.3	utf8mb4_unicode_ci
billing_invoice_snapshot	10933	7.4	utf8mb4_unicode_ci
billing_provision_deduction_snapshot	385	0.1	utf8mb4_unicode_ci
billing_provision_snapshot	7396	3.2	utf8mb4_unicode_ci
billing_unit	0	0.0	utf8mb4_unicode_ci
biometric_attendance_log	174150	225.8	utf8mb4_unicode_ci
biometric_device_master	0	0.1	utf8mb4_unicode_ci
bmi_manual_input	0	0.0	utf8mb4_unicode_ci
bonus_calculation	0	0.0	utf8mb4_unicode_ci
brain_teaser	26	0.0	utf8mb4_unicode_ci
brain_teaser_attempt	5	0.0	utf8mb4_unicode_ci
branch_head_assignments	7	0.1	utf8mb4_unicode_ci
branch_master	45	0.1	utf8mb4_unicode_ci
branch_notification_recipient	4	0.1	utf8mb4_unicode_ci
branch_payroll_hr_signatory	0	0.0	utf8mb4_unicode_ci
branch_wfm_spoc_config	7	0.1	utf8mb4_unicode_ci
break_alert_logs	348	0.4	utf8mb4_unicode_ci
break_audit_logs	1359	2.2	utf8mb4_unicode_ci
break_daily_summary	543	0.7	utf8mb4_unicode_ci
break_kiosk_devices	5	0.1	utf8mb4_unicode_ci
break_sessions	822	1.3	utf8mb4_unicode_ci
break_settings	0	0.1	utf8mb4_unicode_ci
bulk_operation_jobs	0	0.1	utf8mb4_unicode_ci
bulk_upload_locked_entity	2	0.1	utf8mb4_unicode_ci
business_action_activity_log	146	0.2	utf8mb4_unicode_ci
business_action_comment	0	0.0	utf8mb4_unicode_ci
business_action_queue	146	0.2	utf8mb4_unicode_ci
business_policy_config	13	0.1	utf8mb4_unicode_ci
business_policy_config_history	5	0.0	utf8mb4_unicode_ci
campaign_master	0	0.1	utf8mb4_unicode_ci
candidate_autosave_events	0	0.0	utf8mb4_unicode_ci
candidate_bank_verification	87	0.1	utf8mb4_unicode_ci
candidate_bgv_api_request_log	955	3.1	utf8mb4_unicode_ci
candidate_bgv_check	506	1.8	utf8mb4_unicode_ci
candidate_bgv_consent	158	0.1	utf8mb4_unicode_ci
candidate_bgv_exception	0	0.0	utf8mb4_unicode_ci
candidate_bgv_provider_config	4	0.0	utf8mb4_unicode_ci
candidate_bgv_report	169	0.1	utf8mb4_unicode_ci
